event_id,fact_name,expected_value,actual_value,unit,tolerance,abs_error,status,confidence,evidence_text
government_contract_LMT_N0001923C0003,government_contract_event_type,new_contract_award,new_contract_award,category,0.0,,ok,0.76,contract award language
government_contract_LMT_N0001923C0003,mapped_ticker,LMT,LMT,text,0.0,,ok,0.9,LMT
government_contract_LMT_N0001923C0003,recipient_mapping_confidence,0.96,0.96,ratio,0.001,0.0,ok,0.9,source metadata
government_contract_LMT_N0001923C0003,award_amount,24499786640.0,24499786640.0,usd,1000000.0,0.0,ok,0.9,source metadata
government_contract_LMT_N0001923C0003,obligated_amount,24499786640.0,24499786640.0,usd,1000000.0,0.0,ok,0.9,source metadata
government_contract_LMT_N0001923C0003,actual_funded_award_flag,True,True,boolean,0.0,,ok,0.78,derived parser flag
government_contract_LMT_N0001923C0003,ceiling_only_flag,False,False,boolean,0.0,,ok,0.78,derived parser flag
government_contract_LMT_N0001923C0003,option_exercise_flag,False,False,boolean,0.0,,ok,0.78,derived parser flag
government_contract_LMT_N0001923C0003,modification_flag,False,False,boolean,0.0,,ok,0.78,derived parser flag
government_contract_LMT_W31P4Q24C0022,government_contract_event_type,new_contract_award,new_contract_award,category,0.0,,ok,0.76,contract award language
government_contract_LMT_W31P4Q24C0022,mapped_ticker,LMT,LMT,text,0.0,,ok,0.9,LMT
government_contract_LMT_W31P4Q24C0022,recipient_mapping_confidence,0.96,0.96,ratio,0.001,0.0,ok,0.9,source metadata
government_contract_LMT_W31P4Q24C0022,award_amount,7825572872.03,7825572872.03,usd,1000000.0,0.0,ok,0.9,source metadata
government_contract_LMT_W31P4Q24C0022,obligated_amount,7825572872.03,7825572872.03,usd,1000000.0,0.0,ok,0.9,source metadata
government_contract_LMT_W31P4Q24C0022,actual_funded_award_flag,True,True,boolean,0.0,,ok,0.78,derived parser flag
government_contract_LMT_W31P4Q24C0022,ceiling_only_flag,False,False,boolean,0.0,,ok,0.78,derived parser flag
government_contract_LMT_W31P4Q24C0022,option_exercise_flag,False,False,boolean,0.0,,ok,0.78,derived parser flag
government_contract_LMT_W31P4Q24C0022,modification_flag,False,False,boolean,0.0,,ok,0.78,derived parser flag
government_contract_HII_N0002423C2307,government_contract_event_type,new_contract_award,new_contract_award,category,0.0,,ok,0.76,contract award language
government_contract_HII_N0002423C2307,mapped_ticker,HII,HII,text,0.0,,ok,0.9,HII
government_contract_HII_N0002423C2307,recipient_mapping_confidence,0.95,0.95,ratio,0.001,0.0,ok,0.9,source metadata
government_contract_HII_N0002423C2307,award_amount,6948190150.83,6948190150.83,usd,1000000.0,0.0,ok,0.9,source metadata
government_contract_HII_N0002423C2307,obligated_amount,6948190150.83,6948190150.83,usd,1000000.0,0.0,ok,0.9,source metadata
government_contract_HII_N0002423C2307,actual_funded_award_flag,True,True,boolean,0.0,,ok,0.78,derived parser flag
government_contract_HII_N0002423C2307,ceiling_only_flag,False,False,boolean,0.0,,ok,0.78,derived parser flag
